Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2014-02-21,84.35,0.9,1.078,84.4,84.45,14.61,84.45,83.9,83.45,17275.0,1454106.0,400.0
2014-02-24,83.85,0.5,0.593,83.8,83.85,14.53,84.4,83.75,84.35,10549.0,885597.0,400.0
2014-02-25,81.65,2.25,2.682,81.6,81.65,12.46,82.3,81.6,83.9,31186.0,2552442.0,400.0
2014-02-26,81.15,0.5,0.612,81.15,81.2,12.39,81.65,81.0,81.65,18937.0,1540696.0,400.0
2014-02-27,81.85,0.7,0.863,81.85,81.9,12.49,82.4,81.0,81.15,19688.0,1609934.0,400.0
2014-02-28,82.25,0.35,0.427,82.2,82.3,12.55,82.45,81.8,81.9,10806.0,887550.0,400.0
2014-03-05,81.4,0.1,0.123,81.35,81.4,12.42,81.7,81.15,81.5,6101.0,496641.0,400.0
2014-03-06,81.5,0.1,0.123,81.45,81.5,12.44,81.75,81.05,81.4,8642.0,703512.0,400.0
2014-03-07,81.3,0.15,0.184,81.2,81.3,12.41,81.45,81.05,81.45,15464.0,1256118.0,400.0
2014-03-10,80.4,0.9,1.107,80.35,80.4,12.27,80.65,80.3,81.3,14066.0,1131686.0,400.0
2014-03-11,80.4,0.05,0.062,80.35,80.4,12.27,80.4,79.85,80.45,14680.0,1176645.0,400.0
2014-03-12,78.5,0.368,0.467,78.5,78.55,11.98,78.85,78.15,78.868,23430.0,1841058.0,400.0
2014-03-13,77.95,0.65,0.827,77.9,77.95,11.9,78.2,77.85,78.6,25368.0,1979655.0,400.0
2014-03-14,77.7,0.3,0.385,77.65,77.7,11.86,78.0,77.45,78.0,14675.0,1141697.0,400.0
2014-03-17,77.45,0.25,0.322,77.4,77.45,11.82,77.55,77.05,77.7,9819.0,759824.0,400.0
2014-03-18,77.15,0.35,0.452,77.1,77.15,11.78,77.45,77.05,77.5,15943.0,1230513.0,400.0
2014-03-19,76.8,0.35,0.454,76.75,76.8,11.72,77.2,76.75,77.15,18330.0,1410198.0,400.0
2014-03-20,76.05,0.75,0.977,76.0,76.05,11.61,76.3,75.75,76.8,17686.0,1344770.0,400.0
2014-03-21,76.55,0.6,0.79,76.45,76.6,11.68,76.65,75.95,75.95,13632.0,1040315.0,400.0
2014-03-24,77.65,1.1,1.437,77.6,77.65,11.85,77.95,76.9,76.55,14164.0,1097957.0,400.0
2014-03-25,77.8,0.15,0.193,77.8,77.85,11.87,78.1,77.6,77.65,10399.0,809750.0,400.0
2014-03-26,78.25,0.45,0.578,78.25,78.3,11.94,78.75,78.2,77.8,8353.0,655836.0,400.0
2014-03-27,78.25,0.0,0.0,78.2,78.25,11.94,78.5,78.0,78.25,9697.0,759168.0,400.0
2014-03-28,78.55,0.3,0.383,78.6,78.65,11.99,78.85,78.35,78.25,9686.0,761698.0,400.0
2014-03-31,78.55,0.0,0.0,78.55,78.6,11.99,79.0,78.4,78.55,6315.0,496364.0,400.0
2014-04-01,78.65,0.1,0.127,78.65,78.7,12.0,78.95,78.35,78.55,8560.0,673932.0,400.0
2014-04-02,79.15,0.4,0.508,79.15,79.2,12.08,79.4,78.95,78.75,11418.0,904026.0,400.0
2014-04-03,79.0,0.15,0.19,79.0,79.05,12.06,79.55,78.95,79.15,10330.0,819290.0,400.0
2014-04-04,79.15,0.1,0.127,79.1,79.15,12.08,79.3,78.5,79.05,8605.0,680576.0,400.0
2014-04-07,78.5,0.65,0.821,78.45,78.5,11.98,79.0,78.1,79.15,8051.0,631573.0,400.0
2014-04-09,79.6,0.9,1.144,79.5,79.55,12.15,79.75,78.7,78.7,17939.0,1424269.0,400.0
2014-04-10,80.8,1.2,1.508,80.75,80.8,12.33,80.95,79.75,79.6,25974.0,2088752.0,400.0
2014-04-11,80.8,0.0,0.0,80.8,80.9,12.33,81.7,80.3,80.8,27484.0,2227246.0,400.0
2014-04-14,80.35,0.45,0.557,80.3,80.35,12.26,80.55,80.05,80.8,14518.0,1167167.0,400.0
2014-04-15,79.85,0.5,0.622,79.8,79.85,12.19,80.25,79.8,80.35,10823.0,865062.0,400.0
2014-04-16,80.35,0.5,0.626,80.25,80.35,12.26,80.8,80.15,79.85,12170.0,978284.0,400.0
2014-04-17,80.25,0.05,0.062,80.15,80.2,12.25,80.6,79.95,80.3,5534.0,443544.0,400.0
2014-04-22,80.55,0.3,0.374,80.55,80.6,12.29,80.85,80.25,80.25,5502.0,443041.0,400.0
2014-04-23,80.0,0.55,0.683,79.95,80.0,12.21,80.35,79.8,80.55,8573.0,685518.0,400.0
2014-04-24,79.9,0.1,0.125,79.9,79.95,12.19,80.15,79.55,80.0,5017.0,400730.0,400.0
2014-04-25,78.75,1.15,1.439,78.7,78.75,12.02,79.7,78.65,79.9,17275.0,1365732.0,400.0
2014-04-28,78.7,0.05,0.063,78.65,78.7,12.01,78.8,78.35,78.75,10200.0,801678.0,400.0
2014-04-29,79.6,0.9,1.144,79.55,79.6,12.15,79.8,78.6,78.7,12814.0,1015717.0,400.0
2014-04-30,78.65,0.95,1.193,78.5,78.65,12.0,79.5,78.5,79.6,14643.0,1153963.0,400.0
2014-05-02,79.1,0.45,0.572,79.05,79.15,12.07,79.3,78.9,78.65,8887.0,702923.0,400.0
2014-05-05,78.25,0.85,1.075,78.2,78.25,11.94,79.4,78.0,79.1,11938.0,934151.0,400.0
