Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,59.13,59.397,57.266,57.532,3908164,0.0,0
2000-01-04,56.467,56.733,55.934,56.467,6895378,0.0,0
2000-01-05,53.803,54.336,53.004,53.537,14657098,0.0,0
2000-01-06,53.803,54.336,51.273,51.672,10632084,0.0,0
2000-01-07,52.472,53.803,51.939,53.537,8368286,0.0,0
2000-01-10,54.869,54.869,53.004,53.271,6201139,0.0,0
2000-01-11,53.271,53.271,51.939,52.205,8366294,0.0,0
2000-01-12,51.007,51.672,51.007,51.273,7369722,0.0,0
2000-01-13,51.672,51.806,50.873,51.539,5281865,0.0,0
2000-01-14,52.072,52.338,51.14,51.539,5930363,0.0,0
2000-01-17,52.472,52.472,51.14,51.406,4628898,0.0,0
2000-01-18,51.406,51.406,50.607,51.14,3157976,0.0,0
2000-01-19,50.341,51.14,49.542,49.675,13908521,0.0,0
2000-01-20,49.408,49.941,48.609,48.743,10790069,0.0,0
2000-01-21,47.81,48.476,47.677,48.21,15114204,0.0,0
2000-01-24,49.542,49.808,48.876,49.408,11414778,0.0,0
2000-01-25,48.743,49.009,47.81,48.21,13997737,0.0,0
2000-01-26,48.476,49.009,48.21,48.609,7499739,0.0,0
2000-01-27,48.743,49.808,48.743,49.408,7140986,0.0,0
2000-01-28,50.607,50.873,50.341,50.474,11642131,0.0,0
2000-01-31,49.275,49.408,48.743,49.142,8232734,0.0,0
2000-02-01,49.275,49.542,48.876,49.009,8027696,0.0,0
2000-02-02,48.609,49.808,48.476,48.743,9805418,0.0,0
2000-02-03,48.609,49.009,48.077,48.609,10432032,0.0,0
2000-02-04,48.609,49.009,48.077,48.609,0,0.0,0
2000-02-07,48.609,49.009,48.077,48.609,0,0.0,0
2000-02-08,47.544,47.944,47.011,47.411,19295358,0.0,0
2000-02-09,48.077,48.743,47.411,48.343,12382961,0.0,0
2000-02-10,47.677,48.343,47.677,47.81,9652102,0.0,0
2000-02-11,47.944,48.743,47.278,48.077,19089385,0.0,0
2000-02-14,46.878,47.411,46.079,46.612,26168879,0.0,0
2000-02-15,46.345,46.878,45.946,46.745,18810191,0.0,0
2000-02-16,47.411,49.808,47.278,49.275,17841441,0.0,0
2000-02-17,49.009,50.208,49.009,49.542,10789190,0.0,0
2000-02-18,49.542,49.808,48.21,48.609,10116832,0.0,0
2000-02-21,47.944,48.476,47.144,47.677,8839331,0.0,0
2000-02-22,47.278,47.411,46.878,47.278,11567491,0.0,0
2000-02-23,46.745,47.278,46.612,47.011,15418845,0.0,0
2000-02-24,47.411,48.21,47.278,48.077,8222217,0.0,0
2000-02-25,48.476,48.476,47.411,47.677,5538684,0.0,0
2000-02-28,47.677,47.81,46.345,47.411,14537673,0.0,0
2000-02-29,47.944,47.944,47.278,47.544,7043558,0.0,0
2000-03-01,48.077,48.21,47.011,47.544,11562599,0.0,0
2000-03-02,47.544,47.544,46.479,46.878,8791949,0.0,0
2000-03-03,46.612,47.011,46.345,46.479,10539867,0.0,0
2000-03-06,46.612,46.878,46.079,46.079,12136705,0.0,0
2000-03-07,45.413,45.946,45.28,45.546,11561868,0.0,0
2000-03-08,44.88,47.278,44.88,46.745,18341869,0.0,0
2000-03-09,47.278,47.544,46.612,46.878,10370819,0.0,0
2000-03-10,46.745,47.011,46.479,46.745,7541900,0.0,0
2000-03-13,46.263,47.077,46.127,46.263,7209079,1.612,0
2000-03-14,46.399,46.399,45.856,45.992,7866243,0.0,0
2000-03-15,46.127,46.263,45.72,46.263,7118215,0.0,0
2000-03-16,46.399,47.213,46.263,46.67,6463759,0.0,0
2000-03-17,48.569,49.112,48.162,48.841,15601690,0.0,0
2000-03-20,47.755,48.434,47.755,48.027,6563039,0.0,0
2000-03-21,48.162,48.298,47.213,47.484,5551367,0.0,0
2000-03-22,48.841,48.841,48.027,48.434,8132898,0.0,0
2000-03-23,49.112,49.248,48.162,48.705,7006562,0.0,0
2000-03-24,48.705,50.333,48.705,49.926,13638806,0.0,0
2000-03-27,51.011,51.825,51.011,51.283,16693003,0.0,0
2000-03-28,51.011,51.147,50.197,50.469,6880481,0.0,0
2000-03-29,50.062,50.062,49.519,49.79,6328300,0.0,0
2000-03-30,49.926,50.604,49.383,49.519,8699230,0.0,0
2000-03-31,48.976,49.655,48.841,49.383,4128919,0.0,0
2000-04-03,49.926,50.197,47.348,47.484,16216259,0.0,0
2000-04-04,49.926,50.197,47.348,47.484,0,0.0,0
2000-04-05,46.941,48.434,46.941,48.162,11636219,0.0,0
2000-04-06,48.162,48.841,47.348,47.348,6937849,0.0,0
2000-04-07,48.027,48.027,47.348,47.348,6925430,0.0,0
2000-04-10,47.755,47.755,46.67,46.941,5257147,0.0,0
2000-04-11,46.941,47.62,46.806,47.348,4660374,0.0,0
2000-04-12,47.213,48.705,47.213,47.484,8754896,0.0,0
2000-04-13,47.213,47.62,46.806,47.077,8597089,0.0,0
2000-04-14,46.941,47.484,46.67,47.213,8013850,0.0,0
2000-04-17,46.127,46.67,45.72,46.399,13178188,0.0,0
2000-04-18,46.941,47.348,46.67,46.941,8700072,0.0,0
2000-04-19,48.162,48.298,47.213,47.62,14582088,0.0,0
2000-04-20,47.484,47.755,47.213,47.62,4627800,0.0,0
2000-04-21,47.484,47.755,47.213,47.62,0,0.0,0
2000-04-24,47.484,47.755,47.213,47.62,0,0.0,0
2000-04-25,47.484,48.162,47.484,47.62,4745733,0.0,0
2000-04-26,48.298,48.298,47.62,47.755,3715358,0.0,0
2000-04-27,47.484,47.755,47.213,47.348,3383836,0.0,0
2000-04-28,47.484,47.755,47.077,47.348,3600180,0.0,0
2000-05-01,47.484,47.755,47.077,47.348,0,0.0,0
2000-05-02,47.755,47.755,46.67,46.941,4266439,0.0,0
2000-05-03,46.941,47.213,46.67,46.806,32018800,0.0,0
2000-05-04,46.399,46.67,46.263,46.67,3582441,0.0,0
2000-05-05,46.263,46.67,46.127,46.534,4481030,0.0,0
2000-05-08,46.534,46.534,45.449,45.72,9720993,0.0,0
2000-05-09,45.72,45.856,45.449,45.856,4024699,0.0,0
2000-05-10,45.585,45.585,45.178,45.585,5715797,0.0,0
2000-05-11,45.585,45.585,45.178,45.585,0,0.0,0
2000-05-12,45.585,46.399,45.313,46.263,8879849,0.0,0
2000-05-15,46.399,46.534,46.127,46.263,3737455,0.0,0
2000-05-16,46.67,46.806,46.263,46.399,6079957,0.0,0
2000-05-17,46.67,46.67,45.72,45.992,7498145,0.0,0
2000-05-18,45.585,45.856,45.042,45.178,9200872,0.0,0
2000-05-19,45.178,45.856,44.906,45.585,6366608,0.0,0
2000-05-22,45.042,45.313,44.771,45.178,5523227,0.0,0
2000-05-23,45.313,45.72,45.313,45.449,3846064,0.0,0
2000-05-24,45.042,45.178,44.771,44.906,4408808,0.0,0
2000-05-25,45.449,45.585,44.906,45.042,3921354,0.0,0
2000-05-26,44.771,45.313,44.635,45.178,5495982,0.0,0
2000-05-29,45.585,45.72,45.313,45.72,3141539,0.0,0
2000-05-30,45.856,46.127,45.585,45.992,5985547,0.0,0
2000-05-31,46.67,47.077,46.534,46.67,6408054,0.0,0
2000-06-01,46.67,47.213,46.399,47.077,4460986,0.0,0
2000-06-02,47.755,47.755,47.077,47.213,3759932,0.0,0
2000-06-05,48.298,49.112,48.298,48.705,12065234,0.0,0
2000-06-06,48.298,49.112,48.298,48.705,0,0.0,0
2000-06-07,49.112,50.062,48.434,49.926,13308020,0.0,0
2000-06-08,50.062,50.197,49.112,49.519,6654656,0.0,0
2000-06-09,49.519,50.062,48.976,49.655,6509722,0.0,0
2000-06-12,49.519,49.79,49.112,49.655,4613164,0.0,0
2000-06-13,49.383,49.79,49.112,49.655,5354640,0.0,0
2000-06-14,49.655,50.604,49.655,50.469,8866655,0.0,0
2000-06-15,50.469,51.283,50.469,50.74,8977879,0.0,0
2000-06-16,50.74,50.74,50.333,50.74,6636743,0.0,0
2000-06-19,50.197,50.197,49.519,49.655,5958901,0.0,0
2000-06-20,50.062,50.197,49.112,49.383,6200716,0.0,0
2000-06-21,48.976,49.248,48.298,48.976,4999661,0.0,0
2000-06-22,48.841,48.841,48.027,48.027,7113922,0.0,0
2000-06-23,47.348,47.755,46.941,46.941,8675753,0.0,0
2000-06-26,46.941,48.027,46.806,47.213,5721303,0.0,0
2000-06-27,47.755,47.755,47.213,47.348,4371458,0.0,0
2000-06-28,47.755,48.162,47.213,47.484,6490322,0.0,0
2000-06-29,47.62,47.891,47.077,47.348,7062481,0.0,0
2000-06-30,47.62,48.705,47.484,48.434,5629697,0.0,0
2000-07-03,48.298,48.434,48.027,48.162,4315737,0.0,0
2000-07-04,48.434,48.569,48.027,48.434,4717382,0.0,0
2000-07-05,48.434,49.383,48.298,48.841,10394960,0.0,0
2000-07-06,48.841,49.383,48.298,48.434,10026031,0.0,0
2000-07-07,48.705,48.976,48.298,48.569,8444120,0.0,0
2000-07-10,48.705,49.383,48.569,49.112,20048263,0.0,0
2000-07-11,49.383,51.011,49.248,50.876,20779833,0.0,0
2000-07-12,51.554,52.639,51.011,52.504,23369340,0.0,0
2000-07-13,53.725,54.539,52.775,52.911,28729319,0.0,0
2000-07-14,52.911,53.182,52.232,52.504,9072397,0.0,0
2000-07-17,52.911,53.725,52.504,53.453,10737089,0.0,0
2000-07-18,53.182,53.182,52.232,52.368,7928275,0.0,0
2000-07-19,53.182,52.232,52.368,53.182,7928275,0.0,0
2000-07-20,53.182,53.589,52.775,53.453,6621042,0.0,0
2000-07-21,54.81,55.353,53.86,54.267,24054741,0.0,0
2000-07-24,54.267,55.353,54.132,54.81,9241673,0.0,0
2000-07-25,54.81,55.624,54.81,55.353,11493668,0.0,0
2000-07-26,56.438,57.524,55.353,56.981,26772010,0.0,0
2000-07-27,55.896,57.252,55.624,56.981,21002373,0.0,0
2000-07-28,56.981,57.524,55.896,56.167,33024609,0.0,0
2000-07-31,55.353,55.895,54.267,55.895,13686354,0.0,0
2000-08-01,56.71,56.981,55.624,55.624,16442022,0.0,0
2000-08-02,55.896,57.524,55.624,56.981,20391517,0.0,0
2000-08-03,56.981,56.981,56.167,56.438,5552088,0.0,0
2000-08-04,56.438,57.524,56.438,57.524,10105457,0.0,0
2000-08-07,58.066,58.609,57.795,58.609,13395736,0.0,0
2000-08-08,58.609,58.609,57.524,57.795,11355821,0.0,0
2000-08-09,58.338,58.609,56.981,58.066,7279813,0.0,0
2000-08-10,58.609,58.609,58.066,58.338,7978237,0.0,0
2000-08-11,58.88,59.423,58.609,59.152,10399655,0.0,0
2000-08-14,58.961,59.233,57.875,58.146,7180898,0.15,0
2000-08-15,58.69,59.776,58.146,59.776,11438825,0.0,0
2000-08-16,59.505,60.32,59.233,60.048,10510078,0.0,0
2000-08-17,60.048,60.048,58.961,58.961,7929745,0.0,0
2000-08-18,59.233,59.505,58.418,58.961,6816062,0.0,0
2000-08-21,59.233,60.32,58.69,59.776,8258510,0.0,0
2000-08-22,60.592,61.678,60.32,61.678,11320214,0.0,0
2000-08-23,61.679,62.222,61.135,61.135,9960950,0.0,0
2000-08-24,61.407,62.494,61.407,62.494,11195999,0.0,0
2000-08-25,61.678,62.494,61.135,61.407,6273954,0.0,0
2000-08-28,60.863,60.863,58.69,58.961,7641052,0.0,0
2000-08-29,59.233,60.863,59.233,60.048,10808198,0.0,0
2000-08-30,59.776,60.32,59.233,60.048,7275480,0.0,0
2000-08-31,60.32,60.863,59.776,60.32,4911055,0.0,0
2000-09-01,60.863,61.95,60.863,61.407,8155415,0.0,0
2000-09-04,62.222,63.309,62.222,63.037,11628179,0.0,0
2000-09-05,63.037,63.037,61.407,61.678,3928244,0.0,0
2000-09-06,61.95,63.037,61.678,62.494,5571254,0.0,0
2000-09-07,61.95,62.765,61.95,62.222,4852408,0.0,0
2000-09-08,62.222,62.765,61.407,61.407,3909255,0.0,0
2000-09-11,61.678,61.678,61.135,61.678,4253783,0.0,0
2000-09-12,61.407,61.407,60.048,60.32,7186720,0.0,0
2000-09-13,61.407,61.407,60.048,60.32,0,0.0,0
2000-09-14,60.32,60.592,59.233,60.048,7377317,0.0,0
2000-09-15,60.048,60.863,60.048,60.32,4800932,0.0,0
2000-09-18,59.233,59.233,56.788,57.331,15030077,0.0,0
2000-09-19,57.059,57.875,56.244,57.331,9569685,0.0,0
2000-09-20,57.875,58.69,56.788,57.603,9138453,0.0,0
2000-09-21,57.059,57.603,56.788,57.331,7357931,0.0,0
2000-09-22,55.973,56.516,55.157,55.701,9368491,0.0,0
2000-09-25,58.146,58.961,57.059,58.69,9750617,0.0,0
2000-09-26,58.418,59.505,57.875,59.233,5146405,0.0,0
2000-09-27,58.418,59.777,58.146,59.505,5725024,0.0,0
2000-09-28,59.776,60.048,58.961,58.961,7191231,0.0,0
2000-09-29,60.32,60.32,58.961,59.505,4738565,0.0,0
2000-10-02,60.32,60.32,58.961,59.505,0,0.0,0
2000-10-03,58.961,60.863,58.961,60.863,7898049,0.0,0
2000-10-04,60.863,61.407,60.32,60.32,6359043,0.0,0
2000-10-05,60.863,61.135,60.048,60.592,4778775,0.0,0
2000-10-06,60.863,61.135,60.048,60.592,0,0.0,0
2000-10-09,60.592,60.863,59.233,59.776,7922189,0.0,0
2000-10-10,59.233,59.505,58.418,59.233,5628336,0.0,0
2000-10-11,57.875,58.146,56.516,56.788,8280071,0.0,0
2000-10-12,56.516,57.331,55.973,56.788,9347462,0.0,0
2000-10-13,55.429,56.516,55.157,55.701,11055085,0.0,0
2000-10-16,57.875,58.146,57.059,57.603,7777796,0.0,0
2000-10-17,58.961,59.233,58.146,58.961,9421759,0.0,0
2000-10-18,58.961,59.233,57.331,58.146,13251355,0.0,0
2000-10-19,57.059,58.146,55.429,56.788,18025806,0.0,0
2000-10-20,58.69,58.961,57.603,58.418,8920852,0.0,0
2000-10-23,58.69,60.32,58.146,60.048,8478273,0.0,0
2000-10-24,59.776,60.863,59.505,60.048,7023241,0.0,0
2000-10-25,60.32,60.863,59.776,60.32,6218048,0.0,0
2000-10-26,59.233,60.048,58.418,58.418,4508039,0.0,0
2000-10-27,58.961,59.776,57.875,58.418,6163136,0.0,0
2000-10-30,58.69,58.961,57.875,58.146,3572748,0.0,0
2000-10-31,58.418,59.505,58.146,58.961,6880264,0.0,0
2000-11-01,60.592,61.678,60.048,61.678,10025057,0.0,0
2000-11-02,61.135,62.494,60.863,61.135,6029984,0.0,0
2000-11-03,63.037,63.852,62.494,63.309,13721439,0.0,0
2000-11-06,63.58,63.852,62.494,63.037,5806030,0.0,0
2000-11-07,63.037,63.58,62.222,63.309,4581400,0.0,0
2000-11-08,63.309,63.852,62.765,63.037,5414341,0.0,0
2000-11-09,62.222,62.765,61.95,62.494,4161718,0.0,0
2000-11-10,62.222,62.765,61.95,62.494,4827792,0.0,0
2000-11-13,60.863,61.407,60.32,60.32,6597911,0.0,0
2000-11-14,60.592,61.95,60.32,61.678,6175661,0.0,0
2000-11-15,62.222,62.494,60.863,61.135,5726280,0.0,0
2000-11-16,61.135,61.95,60.863,61.95,2317226,0.0,0
2000-11-17,61.678,61.95,61.135,61.678,2238439,0.0,0
2000-11-20,61.95,62.494,61.407,62.222,2584623,0.0,0
2000-11-21,60.863,61.95,60.863,61.678,2760754,0.0,0
2000-11-22,61.678,61.678,60.048,60.32,6728690,0.0,0
2000-11-23,57.875,58.69,57.603,58.418,18978095,0.0,0
2000-11-24,58.418,58.69,57.875,58.146,4446535,0.0,0
2000-11-27,58.69,59.776,58.418,59.233,5335925,0.0,0
2000-11-28,59.233,60.32,58.961,59.776,3866707,0.0,0
2000-11-29,59.233,59.233,58.146,58.418,7084578,0.0,0
2000-11-30,57.875,58.146,56.516,56.788,14858813,0.0,0
2000-12-01,57.059,58.418,56.244,57.875,9628544,0.0,0
2000-12-04,58.146,58.418,57.059,58.418,3994967,0.0,0
2000-12-05,58.69,59.777,58.418,59.505,4229629,0.0,0
2000-12-06,60.863,61.95,60.863,61.678,12157908,0.0,0
2000-12-07,61.407,61.95,61.135,61.95,4478384,0.0,0
2000-12-08,61.95,63.037,61.678,62.222,6067101,0.0,0
2000-12-11,62.494,63.037,62.494,62.765,5930565,0.0,0
2000-12-12,63.58,63.852,63.037,63.037,7357312,0.0,0
2000-12-13,63.037,63.852,62.765,63.852,5679533,0.0,0
2000-12-14,63.037,63.852,62.765,63.58,3011939,0.0,0
2000-12-15,61.407,61.678,60.32,60.592,9659594,0.0,0
2000-12-18,59.233,60.048,58.961,59.776,6843360,0.0,0
2000-12-19,60.863,61.95,60.592,61.95,4031835,0.0,0
2000-12-20,61.678,61.95,60.863,61.407,6444165,0.0,0
2000-12-21,60.048,61.135,59.505,60.32,6582451,0.0,0
2000-12-22,60.32,61.135,60.32,60.863,3610902,0.0,0
2000-12-25,60.32,61.135,60.32,60.863,0,0.0,0
2000-12-26,60.32,61.135,60.32,60.863,0,0.0,0
