Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2020-01-02,60.9,,,60.85,60.9,,60.95,60.6,60.85,14629.0,889652.0,
2020-01-03,60.4,,,60.4,60.45,,61.2,60.25,60.9,14420.0,874111.0,
2020-01-06,60.0,,,60.0,60.05,,60.4,59.8,60.4,13809.0,827932.0,
2020-01-07,59.9,,,59.85,59.9,,60.3,59.8,60.0,8819.0,529018.0,
2020-01-08,59.3,,,59.25,59.3,,59.4,58.85,59.9,16827.0,995779.0,
2020-01-09,59.85,,,59.8,59.85,,59.9,59.55,59.3,17802.0,1063994.0,
2020-01-10,59.85,,,59.8,59.85,,60.05,59.75,59.85,19011.0,1138607.0,
2020-01-13,59.95,,,59.95,60.0,,60.3,59.5,59.85,40493.0,2427980.0,
2020-01-14,59.75,,,59.7,59.75,,60.0,59.65,59.95,19350.0,1156940.0,
2020-01-15,59.8,,,59.75,59.8,,59.95,59.6,59.75,11324.0,677166.0,
2020-01-16,59.9,,,59.85,59.9,,60.3,59.75,59.8,12529.0,751152.0,
2020-01-17,60.15,,,60.15,60.2,,60.4,59.85,59.9,12045.0,724158.0,
2020-01-20,59.95,,,59.95,60.0,,60.25,59.9,60.15,11802.0,708057.0,
2020-01-21,59.15,,,59.1,59.15,,59.8,59.15,59.95,23520.0,1396116.0,
2020-01-22,59.3,,,59.3,59.35,,59.5,59.0,59.15,13123.0,778537.0,
2020-01-23,58.95,,,58.9,58.95,,59.3,58.7,59.3,22888.0,1347723.0,
2020-01-24,58.75,,,58.75,58.8,,59.0,58.6,58.95,6897.0,405610.0,
2020-01-29,57.55,,,57.55,57.6,,57.9,57.1,58.75,35229.0,2027331.0,
2020-01-30,56.7,,,56.7,56.75,,57.4,56.7,57.55,32487.0,1851353.0,
2020-01-31,56.85,,,56.85,56.9,,57.3,56.85,56.7,23220.0,1324162.0,
2020-02-03,56.5,,,56.5,56.55,,56.75,56.1,56.85,26827.0,1513229.0,
2020-02-04,56.6,,,56.6,56.65,,56.85,56.0,56.5,24510.0,1386128.0,
2020-02-05,56.8,,,56.75,56.8,,56.8,56.3,56.6,25450.0,1438733.0,
2020-02-06,57.9,,,57.85,57.9,,58.25,57.2,56.8,21439.0,1238770.0,
2020-02-07,57.8,,,57.8,57.85,,57.95,57.45,57.9,16166.0,933524.0,
2020-02-10,58.1,,,58.1,58.15,,58.7,57.75,57.8,21510.0,1254839.0,
2020-02-11,58.65,,,58.6,58.65,,58.9,58.2,58.1,13626.0,799592.0,
2020-02-12,59.35,,,59.3,59.35,,59.6,58.9,58.65,20912.0,1239715.0,
2020-02-13,59.45,,,59.45,59.5,,59.9,59.3,59.35,20939.0,1247566.0,
2020-02-14,59.65,,,59.65,59.7,,59.9,59.35,59.45,14763.0,880226.0,
2020-02-17,59.4,,,59.35,59.4,,59.6,59.0,59.65,20380.0,1207858.0,
2020-02-18,57.75,,,57.7,57.75,,59.35,57.5,59.4,49578.0,2886096.0,
2020-02-19,57.0,,,57.0,57.05,,57.25,56.2,57.75,69759.0,3969178.0,
2020-02-20,56.8,,,56.8,56.85,,57.1,56.6,57.0,47355.0,2690671.0,
2020-02-21,56.65,,,56.65,56.7,,57.0,56.5,56.8,41477.0,2354657.0,
2020-02-24,56.5,,,56.5,56.55,,56.8,56.5,56.65,49918.0,2824566.0,
2020-02-25,56.05,,,56.05,56.1,,56.35,56.0,56.5,47024.0,2642610.0,
2020-02-26,55.6,,,55.6,55.7,,55.85,55.35,56.05,88501.0,4920432.0,
2020-02-27,54.4,,,54.4,54.45,,54.8,54.2,53.962,47342.0,2574258.0,
2020-02-28,53.15,,,53.1,53.15,,53.4,53.0,54.4,68658.0,3649883.0,
2020-03-02,52.8,,,52.8,52.85,,52.95,52.5,53.15,45361.0,2394215.0,
2020-03-03,52.55,,,52.5,52.55,,53.1,52.55,52.8,45432.0,2394458.0,
2020-03-04,51.35,,,51.35,51.4,,51.95,50.8,52.55,78906.0,4055212.0,
2020-03-05,51.8,,,51.75,51.8,,52.1,51.5,51.35,53217.0,2757021.0,
2020-03-06,50.65,,,50.6,50.65,,51.15,50.55,51.8,106619.0,5408180.0,
2020-03-09,48.75,,,48.75,48.8,,49.55,48.6,50.65,107572.0,5273372.0,
2020-03-10,48.9,,,48.85,48.9,,49.55,48.4,48.75,69126.0,3384679.0,
2020-03-11,48.65,,,48.65,48.7,,49.2,48.6,48.9,54556.0,2664333.0,
2020-03-12,46.65,,,46.65,46.7,,48.0,46.5,48.65,93238.0,4390262.0,
2020-03-13,45.7,,,45.65,45.7,,46.1,42.0,46.65,127328.0,5655697.0,
2020-03-16,43.8,,,43.8,43.85,,44.75,43.6,45.7,91412.0,4020103.0,
2020-03-17,44.95,,,44.9,44.95,,45.5,43.85,43.8,61905.0,2754087.0,
2020-03-18,44.55,,,44.55,44.6,,46.5,44.15,44.95,63302.0,2859070.0,
2020-03-19,44.6,,,44.6,44.65,,44.9,43.5,44.55,77250.0,3422549.0,
2020-03-20,47.0,,,46.85,47.0,,47.0,44.95,44.6,54043.0,2480861.0,
2020-03-23,44.2,,,44.15,44.2,,44.85,43.85,47.0,64238.0,2839540.0,
2020-03-24,45.1,,,45.05,45.1,,45.2,44.45,44.2,35693.0,1603003.0,
2020-03-25,46.3,,,46.25,46.3,,46.6,45.0,45.1,46848.0,2143757.0,
2020-03-26,45.7,,,45.65,45.7,,45.95,45.05,46.3,29685.0,1346955.0,
2020-03-27,45.4,,,45.4,45.45,,46.15,45.1,45.7,38499.0,1752535.0,
2020-03-30,44.5,,,44.5,44.55,,45.15,44.1,45.4,51712.0,2306110.0,
2020-03-31,44.15,,,44.15,44.2,,44.9,43.95,44.5,34812.0,1537188.0,
2020-04-01,39.95,,,39.95,40.0,,41.7,39.8,44.15,212365.0,8593189.0,
